dpl,dpg,dpu
0.0944061,0.1,0.105925
0.105924,0.1122,0.118848
0.118857,0.1259,0.13336
0.133396,0.1413,0.149673
0.149634,0.1585,0.167892
0.167854,0.1778,0.188335
0.18834,0.1995,0.211321
0.211375,0.2239,0.237167
0.237148,0.2512,0.266085
0.266036,0.2818,0.298498
0.298512,0.3162,0.334936
0.334953,0.3548,0.375823
0.375831,0.3981,0.421689
0.421712,0.4467,0.473169
0.473163,0.5012,0.530898
0.530845,0.5623,0.595618
0.595702,0.631,0.668389
0.668301,0.7079,0.749846
0.749868,0.7943,0.841365
0.841441,0.8913,0.944113
0.891251,1,1.12202
1.122,1.2589,1.41251
1.41254,1.5849,1.77829
1.77831,1.9953,2.23876
2.23873,2.5119,2.8184
2.8184,3.1623,3.54816
3.54816,3.9811,4.46687
4.46686,5.0119,5.62344
5.62344,6.3096,7.07949
